number__of__segment   value           relative__error 

 2                          -102.0588463                         0.000
 4                          -102.0587797                         0.000
 6                          -102.0587761                         0.000
 8                          -102.0587755                         0.000
 10                          -102.0587753                         0.000
 12                          -102.0587753                         0.000
 14                          -102.0587753                         0.000
 16                          -102.0587753                         0.000
 18                          -102.0587752                         0.000
 20                          -102.0587752                         0.000
